president,congress,congress_start_year,congress_end_year,nominee,court_name,nomination_date,recess_appointment,outcome
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Glassie, Henry H.",Supreme Court of the District of Columbia,1929-02-14 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Lenroot, Irvine L. (1)",Court of Customs Appeals,1929-02-14 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Wheat, Alfred A.",Eastern District of New York,1929-02-28 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Woolsey, John M. (1)",Southern District of New York,1929-02-28 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Caffey, Francis G. (1)",Southern District of New York,1929-03-01 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Gardner, Archibald K. (1)",Eighth Circuit,1929-03-01 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"McDermott, George T. (1)",Tenth Circuit,1929-03-01 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Phillips, Orie L. (1)",Tenth Circuit,1929-03-01 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Stryker, Lloyd P.",Southern District of New York,1929-03-01 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Wilbur, Curtis D. (1)",Ninth Circuit,1929-03-01 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Wyman, A. Lee (1)",District of South Dakota,1929-03-01 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",71st,1929,1931,"Watson, Albert L. (1)",Middle District of Pennsylvania,1929-06-08 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",71st,1929,1931,"Parker, John J.",Supreme Court,1930-03-21 00:00:00,False,"rejected by Senate May 7, 1930"
"Herbert Hoover (1929-1933)
",71st,1929,1931,"Nordbye, Gunnar H. (1), (2)",District of Minnesota,1931-02-20 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",71st,1929,1931,"Fee, James A. (1), (2)",District of Oregon,1931-02-26 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",72nd,1931,1933,"Mackintosh, Kenneth",Ninth Circuit,1932-01-08 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",72nd,1931,1933,"Wilkerson, James H.",Seventh Circuit,1932-01-12 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",72nd,1931,1933,"Johnson, George E.Q. (2)",Northern District of Illinois,1932-12-07 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",72nd,1931,1933,"Mackintosh, Kenneth",Ninth Circuit,1932-12-07 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",72nd,1931,1933,"Ramseyer, C. William",Customs Court,1932-12-13 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",72nd,1931,1933,"Newton, Walter H.",District of Minnesota,1933-02-18 00:00:00,False,no Senate vote
"Herbert Hoover (1929-1933)
",72nd,1931,1933,"Richardson, Seth W.",Eighth Circuit,1933-02-23 00:00:00,False,no Senate vote
"Franklin D. Roosevelt (1933-1945)
",73rd,1933,1934,"Norcross, Frank H.",Ninth Circuit,1933-09-23 00:00:00,True,appointee declined
"Franklin D. Roosevelt (1933-1945)
",73rd,1933,1934,"Woodburn, William",District of Nevada,1933-09-23 00:00:00,True,appointment invalid; vacancy did not occur
"Franklin D. Roosevelt (1933-1945)
",73rd,1933,1934,"Norcross, Frank H.",Ninth Circuit,1934-01-08 00:00:00,False,no Senate vote
"Franklin D. Roosevelt (1933-1945)
",75th,1937,1938,"Allred, James V. (1)",Southern District of Texas,1938-07-11 00:00:00,True,appointee declined
"Franklin D. Roosevelt (1933-1945)
",76th,1939,1941,"Roberts, Floyd H. (2)",Western District of Virginia,1939-01-05 00:00:00,False,"rejected by Senate February 6, 1939"
"Franklin D. Roosevelt (1933-1945)
",76th,1939,1941,"Lee, William B.",Eastern and Middle Districts of Tennessee,1939-01-24 00:00:00,False,"confirmed February 1, 1939; nominee died prior to appointment"
"Franklin D. Roosevelt (1933-1945)
",76th,1939,1941,"Porterie, Gaston L.N.",Northern District of Louisiana [sic],1939-01-24 00:00:00,False,"withdrawn by president January 25, 1939"
"Franklin D. Roosevelt (1933-1945)
",76th,1939,1941,"Darr, Leslie R. (1)",Eastern and Middle Districts of Tennessee,1939-05-17 00:00:00,False,"withdrawn by president May 24, 1939"
"Franklin D. Roosevelt (1933-1945)
",77th,1941,1942,"Chandler, Stephen S., Jr. (1)",Western District of Oklahoma,1942-12-11 00:00:00,False,no Senate vote
"Franklin D. Roosevelt (1933-1945)
",77th,1941,1942,"Lawrence, Charles D. (1)",Customs Court,1942-12-11 00:00:00,False,no Senate vote
"Franklin D. Roosevelt (1933-1945)
",78th,1943,1944,"Allred, James V.",Fifth Circuit,1943-02-18 00:00:00,False,no Senate vote
"Franklin D. Roosevelt (1933-1945)
",79th,1945,1946,"Margold, Nathan R.",District of the District of Columbia,1945-01-19 00:00:00,False,no Senate vote
"Franklin D. Roosevelt (1933-1945)
",79th,1945,1946,"Johnson, Jed",Customs Court,1945-03-29 00:00:00,False,"confirmed April 3, 1945; nominee declined"
"Harry S Truman (1945-1953)
",79th,1945,1946,"Kalodner, Harry E.",Third Circuit,1946-05-07 00:00:00,False,"withdrawn by president, May 21, 1946"
"Harry S Truman (1945-1953)
",80th,1947,1948,"Harper, Roy W. (1), (2)",Eastern and Western Districts of Missouri,1947-07-10 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",80th,1947,1948,"Harper, Roy W. (1), (2)",Eastern and Western Districts of Missouri,1947-11-24 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",80th,1947,1948,"Tamm, Edward A. (1), (2)",District of the District of Columbia,1948-02-03 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",80th,1947,1948,"Warlick, Wilson",Western District of North Carolina,1948-04-02 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",80th,1947,1948,"Rao, Paul P. (1), (2)",Customs Court,1948-05-03 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",80th,1947,1948,"Kaufman, Samuel H. (1), (2)",Southern District of New York,1948-05-17 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",80th,1947,1948,"Harper, Roy W. (1), (2)",Eastern and Western Districts of Missouri,1948-07-29 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",80th,1947,1948,"Kaufman, Samuel H. (1), (2)",Southern District of New York,1948-07-29 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",80th,1947,1948,"Rao, Paul P. (1), (2)",Customs Court,1948-07-29 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",80th,1947,1948,"Tamm, Edward A. (1), (2)",District of the District of Columbia,1948-07-29 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Eberharter, Herman P.",Western District of Pennsylvania,1949-04-26 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Switzer, Carroll O. (2)",Southern District of Iowa,1949-06-09 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Ritter, Willis W. (1), (2)",District of Utah,1949-08-25 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Andrews, M. Neil",Northern District of Georgia,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Bazelon, David L. (1), (2)",District of Columbia Circuit,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Burns, Owen M. (1), (2)",Western District of Pennsylvania,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Clary, Thomas J. (1), (2)",Eastern District of Pennsylvania,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Fahy, Charles (1), (2)",District of Columbia Circuit,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Grim, Allan K. (1), (2)",Eastern District of Pennsylvania,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Hastie, William H. (1), (2)",Third Circuit,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Hill, Delmas C. (1), (2)",District of Kansas,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Hooper, Frank A.",Northern District of Georgia,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Kaufman, Irving R. (1), (2)",Southern District of New York,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"McGohey, John F.X. (1), (2)",Southern District of New York,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Noonan, Gregory F. (1), (2)",Southern District of New York,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Solomon, Gus J. (1), (2)",District of Oregon,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Sugarman, Sidney (1), (2)",Southern District of New York,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Swaim, H. Nathan (1), (2)",Seventh Circuit,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Washington, George T. (1), (2)",District of Columbia Circuit,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Wright, J. Skelly (1), (2)",Eastern District of Louisiana,1949-10-15 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Kirkland, James R. (1), (2)",District of the District of Columbia,1949-10-17 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Matthews, Burnita S. (1), (2)",District of the District of Columbia,1949-10-17 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"McLaughlin, Charles F. (1), (2)",District of the District of Columbia,1949-10-17 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Andrews, M. Neil (2)",Northern District of Georgia,1950-01-05 00:00:00,False,"rejected by Senate August 9, 1950"
"Harry S Truman (1945-1953)
",81st,1949,1951,"Switzer, Carroll O. (2)",Southern District of Iowa,1950-01-05 00:00:00,False,"rejected by Senate August 9, 1950"
"Harry S Truman (1945-1953)
",81st,1949,1951,"Byrne, William M., Sr. (1), (2)",Southern District of California,1950-09-01 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",81st,1949,1951,"Carter, Oliver J. (1), (2)",Northern District of California,1950-09-01 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",82nd,1951,1952,"Hennock, Frieda B.",Southern District of New York,1951-06-11 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",82nd,1951,1952,"Drucker, Joseph J.",Northern District of Illinois,1951-07-13 00:00:00,False,"rejected by Senate October 9, 1951"
"Harry S Truman (1945-1953)
",82nd,1951,1952,"Harrington, Cornelius J.",Northern District of Illinois,1951-07-13 00:00:00,False,"rejected by Senate October 9, 1951"
"Harry S Truman (1945-1953)
",82nd,1951,1952,"Tolin, Ernest A. (1), (2)",Southern District of California,1951-10-18 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",82nd,1951,1952,"Friedman, Monroe M. (2)",Northern District of California,1952-06-27 00:00:00,False,no Senate vote
"Harry S Truman (1945-1953)
",83rd,1953,1954,"Friedman, Monroe M. (2)",Northern District of California,1953-01-09 00:00:00,False,"withdrawn by president July 24, 1953"
"Dwight D. Eisenhower (1953-1961)
",83rd,1953,1954,"Van Dusen, Francis L. (1)",Eastern District of Pennsylvania,1954-03-29 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",83rd,1953,1954,"Bastian, Walter M. (1), (2)",District of Columbia Circuit,1954-08-19 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",83rd,1953,1954,"Cecil, Lamar J.R. (1), (2)",Eastern District of Texas,1954-08-19 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",83rd,1953,1954,"Miller, William E. (1)",Middle District of Tennessee,1954-08-19 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",83rd,1953,1954,"Harlan, John M. (1)",Supreme Court,1954-11-09 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",83rd,1953,1954,"Devitt, Edward J. (1), (2)",District of Minnesota,1954-11-16 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",83rd,1953,1954,"Miller, William E. (1)",Middle District of Tennessee,1954-11-16 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",84th,1955,1956,"Herlands, William B. (1), (2)",Southern District of New York,1955-05-11 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",84th,1955,1956,"Kraft, C. William, Jr. (1), (2)",Eastern District of Pennsylvania,1955-05-20 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",84th,1955,1956,"Burger, Warren E. (1)",District of Columbia Circuit,1955-06-21 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",84th,1955,1956,"Sobeloff, Simon E. (1)",Fourth Circuit,1955-07-14 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",84th,1955,1956,"Lieb, Joseph P. (1), (2)",Southern District of Florida,1955-07-30 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",84th,1955,1956,"Watkins, R. Dorsey (1), (2)",District of Maryland,1955-07-30 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",84th,1955,1956,"Morgan, Justin C. (1)",Western District of New York,1955-08-01 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",85th,1957,1958,"Moore, Leonard P. (1), (2)",Second Circuit,1957-03-19 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",85th,1957,1958,"Henley, J. Smith (2)",Eastern District of Arkansas,1958-02-24 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",85th,1957,1958,"Hart, George L., Jr. (1), (2)",District of the District of Columbia,1958-08-16 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",85th,1957,1958,"Boreman, Herbert S. (1)",Fourth Circuit,1958-10-17 00:00:00,True,appointee declined
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Henley, J. Smith (2)",Eastern District of Arkansas,1959-01-17 00:00:00,False,"withdrawn by president August 18, 1959"
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Tucker, John G.",Eastern District of Texas,1959-02-12 00:00:00,False,"withdrawn by president August 3, 1959"
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Paul, Charles F. (1)",Northern District of West Virginia,1959-08-03 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Durfee, James (1)",Court of Claims,1959-08-25 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Smith, J. Joseph (1)",Second Circuit,1959-08-27 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Timbers, William H. (1)",District of Connecticut,1959-08-27 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Tavares, C. Nils (1), (2)",District of Hawaii,1960-01-14 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Kennerly, Thomas E.",Southern District of Texas,1960-06-06 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Feikens, John (2)",Eastern District of Michigan,1960-06-10 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",86th,1959,1960,"Caffrey, Andrew A. (1), (2)",District of Massachusetts,1960-07-01 00:00:00,False,no Senate vote
"Dwight D. Eisenhower (1953-1961)
",87th,1961,1962,"Feikens, John (2)",Eastern District of Michigan,1961-01-10 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Bell, Griffin B. (1), (2)",Fifth Circuit,1961-09-20 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Gewin, Walter P. (1), (2)",Fifth Circuit,1961-09-20 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Rosling, George (1), (2)",Eastern District of New York,1961-09-21 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Allgood, Clarence W. (1), (2)",Northern District of Alabama,1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Bonsal, Dudley B. (1), (2)",Southern District of New York,1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Cooper, Irving B. (1), (2)",Southern District of New York,1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Daugherty, Frederick A. (1), (2)","Eastern, Northern and Western Districts of Oklahoma",1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Feinberg, Wilfred (1), (2)",Southern District of New York,1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Green, Ben C. (1), (2)",Northern District of Ohio,1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Hays, Paul R. (1), (2)",Second Circuit,1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Marshall, Thurgood (1), (2)",Second Circuit,1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Peck, John W. II (1), (2)",Southern District of Ohio,1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Smith, Talbot (1), (2)",Eastern District of Michigan,1961-09-23 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Brewster, Leo (1), (2)",Northern District of Texas,1961-09-25 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Hughes, Sarah T. (1), (2)",Northern District of Texas,1961-09-25 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Noel, James L., Jr. (1), (2)",Southern District of Texas,1961-09-25 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Spears, Adrian A. (1), (2)",Western District of Texas,1961-09-25 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"Almond, J. Lindsay, Jr. (1), (2)",Court of Customs and Patent Appeals,1962-04-16 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",87th,1961,1962,"McGowan, Carl E. (1)",District of Columbia Circuit,1962-08-16 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",88th,1963,1964,"Davis, John M. (1), (2)",Eastern District of Pennsylvania,1963-09-03 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",88th,1963,1964,"Rabinovitz, David (2)",Western District of Wisconsin,1963-09-06 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",88th,1963,1964,"Higginbotham, A. Leon, Jr. (1), (2)",Eastern District of Pennsylvania,1963-09-25 00:00:00,False,no Senate vote
"John F. Kennedy (1961-1963)
",88th,1963,1964,"Robinson, Spottswood W. III (1), (2)",District of the District of Columbia,1963-10-01 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",88th,1963,1964,"Rabinovitz, David (2)",Western District of Wisconsin,1964-02-03 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",89th,1965,1966,"Fullam, John P. (1)",Eastern District of Pennsylvania,1965-08-24 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",89th,1965,1966,"Morrissey, Francis X.",District of Massachusetts,1965-09-28 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",89th,1965,1966,"Watson, James L. (1)",Customs Court,1965-10-06 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",89th,1965,1966,"Feinberg, Wilfred (1)",Second Circuit,1965-10-11 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",89th,1965,1966,"Thomas, William K. (1)",Northern District of Ohio,1965-10-18 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",89th,1965,1966,"Weinstein, Jack B. (1)",Eastern District of New York,1966-10-17 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",90th,1967,1968,"Poole, Cecil F.",Northern District of California,1968-05-29 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",90th,1967,1968,"Fortas, Abe","Chief Justice, Supreme Court",1968-06-26 00:00:00,False,"withdrawn by president October 4, 1968"
"Lyndon B. Johnson (1963-1969)
",90th,1967,1968,"Thornberry, W. Homer",Supreme Court,1968-06-26 00:00:00,False,"withdrawn by president October 4, 1968"
"Lyndon B. Johnson (1963-1969)
",90th,1967,1968,"Bress, David G.",District of the District of Columbia,1968-08-02 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",90th,1967,1968,"Sanders, Harold B., Jr.",District of Columbia Circuit,1968-09-25 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",90th,1967,1968,"Byrne, William M., Jr.",Central District of California,1968-10-01 00:00:00,False,no Senate vote
"Lyndon B. Johnson (1963-1969)
",91st,1969,1971,"Bress, David G.",District of the District of Columbia,1969-01-09 00:00:00,False,"withdrawn by president January 23, 1969"
"Lyndon B. Johnson (1963-1969)
",91st,1969,1971,"Byrne, William M., Jr.",Central District of California,1969-01-09 00:00:00,False,"withdrawn by president January 23, 1969"
"Lyndon B. Johnson (1963-1969)
",91st,1969,1971,"Poole, Cecil F.",Northern District of California,1969-01-09 00:00:00,False,"withdrawn by president January 23, 1969"
"Lyndon B. Johnson (1963-1969)
",91st,1969,1971,"Sanders, Harold B., Jr.",District of Columbia Circuit,1969-01-09 00:00:00,False,"withdrawn by president January 23, 1969"
"Richard M. Nixon (1969-1974)
",91st,1969,1971,"Bane, Charles A.",Seventh Circuit,1969-05-28 00:00:00,False,"withdrawn by president October 22, 1969"
"Richard M. Nixon (1969-1974)
",91st,1969,1971,"Haynsworth, Clement F., Jr.",Supreme Court,1969-08-21 00:00:00,False,"rejected by Senate November 21, 1969"
"Richard M. Nixon (1969-1974)
",91st,1969,1971,"Pell, Wilbur F., Jr. (1)",Seventh Circuit,1969-12-15 00:00:00,False,no Senate vote
"Richard M. Nixon (1969-1974)
",91st,1969,1971,"Carswell, G. Harrold",Supreme Court,1970-01-19 00:00:00,False,"rejected by Senate April 8, 1970"
"Richard M. Nixon (1969-1974)
",91st,1969,1971,"Varner, Robert E. (1)",Middle District of Alabama,1970-12-04 00:00:00,False,no Senate vote
"Richard M. Nixon (1969-1974)
",93rd,1973,1974,"Torruella, Juan R. (1)",District of Puerto Rico,1974-05-28 00:00:00,False,no Senate vote
"Richard M. Nixon (1969-1974)
",93rd,1973,1974,"Meskill, Thomas J. (1)",Second Circuit,1974-08-08 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",93rd,1973,1974,"Meskill, Thomas J. (1)",Second Circuit,1974-11-18 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",93rd,1973,1974,"Henley, J. Smith (1)",Eighth Circuit,1974-12-11 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Poff, William B.",Western District of Virginia,1976-04-01 00:00:00,False,"withdrawn by president June 7, 1976"
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Revell, Richard A.",Western District of Kentucky,1976-04-26 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Kovachevich, Elizabeth A.",Middle District of Florida,1976-06-11 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Bethune, Edwin R., Jr.",Eastern and Western Districts of Arkansas,1976-06-15 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Brotzman, Donald G.",District of Colorado,1976-07-22 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Bilby, Richard M.",Ninth Circuit,1976-08-03 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Moore, John H. II",Southern District of Florida,1976-08-04 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Wellford, Harry W.",Sixth Circuit,1976-08-04 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"DeSimone, Herbert F.",District of Rhode Island,1976-08-05 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Walter, Donald E.",Western District of Louisiana,1976-08-05 00:00:00,False,no Senate vote
"Gerald R. Ford (1974-1977)
",94th,1975,1976,"Anderson, James A.",Eastern and Western Districts of Washington,1976-08-06 00:00:00,False,no Senate vote
"Jimmy Carter (1977-1981)
",95th,1977,1978,"Collins, Robert F. (1)",Eastern District of Louisiana,1977-11-02 00:00:00,False,no Senate vote
"Jimmy Carter (1977-1981)
",95th,1977,1978,"Mazzone, A. David (1)",District of Massachusetts,1977-11-21 00:00:00,False,no Senate vote
"Jimmy Carter (1977-1981)
",95th,1977,1978,"Simmons, Paul A. (1)",Western District of Pennsylvania,1977-11-22 00:00:00,False,no Senate vote
"Jimmy Carter (1977-1981)
",95th,1977,1978,"Paletta, Len J.",Western District of Pennsylvania,1978-04-07 00:00:00,False,"withdrawn by president May 25, 1978"
"Jimmy Carter (1977-1981)
",95th,1977,1978,"Clauss, Carin Ann",District of the District of Columbia,1978-09-19 00:00:00,False,no Senate vote
"Jimmy Carter (1977-1981)
",96th,1979,1980,"Green, Joyce H.",District of the District of Columbia,1979-03-02 00:00:00,False,"withdrawn by president March 6, 1979"
"Jimmy Carter (1977-1981)
",96th,1979,1980,"Winberry, Charles B., Jr.",Eastern District of North Carolina,1979-03-29 00:00:00,False,"withdrawn by president August 26, 1980"
"Jimmy Carter (1977-1981)
",96th,1979,1980,"Jones, James P.",Western District of Virginia,1979-05-16 00:00:00,False,no Senate vote
"Jimmy Carter (1977-1981)
",96th,1979,1980,"Jefferson, Andrew L., Jr.",Fifth Circuit,1979-10-11 00:00:00,False,no Senate vote
"Jimmy Carter (1977-1981)
",96th,1979,1980,"Arnold, Richard S. (1)",Eighth Circuit,1979-12-14 00:00:00,False,"withdrawn by president December 19, 1979"
"Jimmy Carter (1977-1981)
",96th,1979,1980,"Gray, Fred D.",Middle District of Alabama,1980-01-10 00:00:00,False,"withdrawn by president September 17, 1980"
"Jimmy Carter (1977-1981)
",96th,1979,1980,"Heen, Walter M. (2)",District of Hawaii,1980-02-27 00:00:00,False,no Senate vote
"Jimmy Carter (1977-1981)
",96th,1979,1980,"Sheffield, James E.",Eastern District of Virginia,1980-04-09 00:00:00,False,no Senate vote
